year,total_reports,Mont 0-1,Months 2-2 Years,Years 3-11,Years 12-17s,Years 18-64,Years 65-85,MoreThan 85 Years,Not-Specified
2024,2041829,2752,12018,35776,34713,658444,470425,40369,787332
2023,2154455,2846,10164,29486,31085,642576,455531,40282,942485
2022,2337099,3178,9801,25826,29890,769089,486388,41010,971917
2021,2328590,3144,8903,22578,32113,730806,457755,37045,1036246
2020,2202814,3867,9755,21192,40427,687011,442304,38877,959381
2019,2175284,4145,9445,23365,42186,702337,445080,38952,909774
2018,2140149,3566,9544,23590,33827,688679,473388,41702,865853
2017,1805010,2962,7664,20759,23198,566910,393544,36850,753123
2016,1683373,3188,7277,17921,21390,570597,355970,33017,674013
2015,1719791,3343,6347,17693,19941,591307,350321,32553,698286
2014,1198433,2891,4949,12735,14115,440092,234611,23129,465911
2013,1068593,2364,4776,11479,12811,398877,186877,18627,432782
2012,930179,4222,3980,11224,12671,379152,172129,16119,330682
2011,781627,3855,4092,9809,12833,343192,152836,14252,240758
2010,672640,2951,4432,8210,8842,287195,126823,10400,223787
2009,490408,4543,3109,8525,9024,220204,103034,8341,133628
2008,439671,4639,2848,7620,7742,202023,92509,7301,114989
2007,363325,2766,2518,6273,6922,171535,78461,5856,88994
2006,335670,2266,2236,4837,6161,158636,78529,5844,77161
2005,321879,1888,2007,5985,6308,144271,73370,5421,82629
2004,272831,1825,1968,6264,6411,124501,65620,5362,60880
2003,225234,1961,1771,5042,5267,103025,50279,4202,53687
2002,184879,2123,1576,3237,3586,86527,44580,3696,39554
2001,203208,2347,1883,4158,4397,91906,49665,4059,44793
2000,199799,1622,2044,3530,3603,90885,49451,3827,44837
1999,224363,1475,2297,3826,3691,106172,50510,3601,52791
1998,159890,1210,1565,3389,3417,76221,34936,2544,36608
1997,198234,704,1825,4791,3701,94179,39146,2547,51341
1996,172204,446,1625,4534,3540,76983,32401,2145,50530
1995,141667,386,1169,3609,3403,67021,24362,1703,40014
1994,129122,345,1775,3866,2948,56393,23082,1537,39176
1993,124198,278,1144,2500,2421,52494,20324,1328,43709
1992,105954,208,1101,2246,2041,42460,15145,1037,41716
1991,75290,242,1007,2136,1548,31242,10369,691,28055
1990,75201,241,1704,1913,1484,30810,9739,616,28694
1989,60682,285,2124,1793,1148,24641,8427,627,21637
1988,51138,192,1793,1410,1123,20583,7275,491,18271
1987,54759,171,1673,2071,1437,23337,7615,516,17939
1986,55928,199,1517,1661,1237,22429,8522,553,19810
1985,38799,162,1090,1161,906,15966,5480,392,13642
1984,32623,86,501,785,670,14072,4659,279,11571
1983,32021,55,409,562,638,12719,4362,286,12990
1982,23705,25,538,666,471,9696,3190,218,8901
1981,14500,17,347,475,327,5655,1803,125,5751
1980,12912,20,304,444,318,5200,1585,149,4892
1979,8243,10,104,234,190,3249,999,80,3377
1978,9435,4,104,281,219,3803,961,48,4015
1977,13741,6,159,349,402,5441,1295,62,6027
1976,10821,3,134,300,279,4155,879,66,5005
1975,10615,2,172,324,261,4157,1491,59,4149
1974,9253,4,131,255,220,3531,824,50,4238
1973,11377,4,199,363,264,3784,1334,41,5388
1972,9637,3,135,221,185,4441,1983,27,2642
1971,13156,6,206,329,313,7156,2530,61,2555
1970,17947,6,371,686,524,9740,2832,98,3690
1969,5433,2,127,206,167,3287,627,31,986
1968,107,,2,1,2,85,7,,10
