year,total_reports,serious,death,non_serious
2024,2041829,1067542,148463,825824
2023,2154455,1135376,162694,856385
2022,2337099,1256089,173907,907103
2021,2328590,1367820,186922,773848
2020,2202814,1176790,192769,833255
2019,2175284,1148749,172094,854441
2018,2140149,1097219,195354,847576
2017,1805010,898582,163210,743218
2016,1683373,825736,141827,715810
2015,1719791,799884,147883,772024
2014,1198433,678960,124059,395414
2013,1068593,587142,116437,365014
2012,930179,536999,117396,275784
2011,781627,474241,99290,208096
2010,672640,389776,83482,199382
2009,490408,312107,64436,113865
2008,439671,271087,50293,118291
2007,363325,237186,37117,89022
2006,335670,230675,37489,67506
2005,321879,220070,40117,61692
2004,272831,170577,34769,67485
2003,225234,147814,34965,42455
2002,184879,135581,27954,21344
2001,203208,147755,23796,31657
2000,199799,140796,19348,39655
1999,224363,143143,17255,63965
1998,159890,138890,15933,5067
1997,198234,90548,10125,97561
1996,172204,84156,8184,79864
1995,141667,76539,7140,57988
1994,129122,78730,7939,42453
1993,124198,102517,6580,15101
1992,105954,83838,5918,16198
1991,75290,56321,4459,14510
1990,75201,56694,3959,14548
1989,60682,46548,3540,10594
1988,51138,40174,3263,7701
1987,54759,40915,4883,8961
1986,55928,37178,6492,12258
1985,38799,18259,4079,16461
1984,32623,15887,2556,14180
1983,32021,14886,2219,14916
1982,23705,9851,1887,11967
1981,14500,5985,1284,7231
1980,12912,5243,1073,6596
1979,8243,3750,340,4153
1978,9435,4044,574,4817
1977,13741,5860,951,6930
1976,10821,4218,667,5936
1975,10615,4979,1103,4533
1974,9253,4500,916,3837
1973,11377,6430,836,4111
1972,9637,6479,499,2659
1971,13156,8905,697,3554
1970,17947,11002,1015,5930
1969,5433,3396,361,1676
1968,107,61,8,38
