year,total_reports,expedited,non_expedited,direct,bsr
2024,2041829,1168649,815057,58123,
2023,2154455,1248041,837783,68631,
2022,2337099,1308258,950762,78079,
2021,2328590,1387985,868056,72549,
2020,2202814,1242171,882083,78560,
2019,2175284,1215041,854855,105388,
2018,2140149,1155290,897308,87551,
2017,1805010,941777,801203,62030,
2016,1683373,863270,769112,50991,
2015,1719791,833112,845020,41659,
2014,1198433,741482,422721,34230,
2013,1068593,631158,409045,28390,
2012,930179,574943,326224,29012,
2011,781627,498420,255165,28042,
2010,672640,409063,234633,28944,
2009,490408,330083,126159,34166,
2008,439671,274092,132683,32896,
2007,363325,229897,110397,23031,
2006,335670,219143,95548,20979,
2005,321879,212087,84481,25306,5
2004,272831,161335,89834,21657,5
2003,225234,143656,58613,22952,13
2002,184879,127770,36642,20447,20
2001,203208,113680,70176,19299,53
2000,199799,94160,89169,16120,350
1999,224363,80970,127049,16175,169
1998,159890,70818,73682,15247,143
1997,198234,37707,144258,16205,64
1996,172204,26312,130303,15569,20
1995,141667,21833,103344,16481,9
1994,129122,22205,89936,16977,4
1993,124198,19111,90334,14752,1
1992,105954,15943,77071,12940,
1991,75290,12826,52027,10434,3
1990,75201,11405,53427,10367,2
1989,60682,9461,43096,8125,
1988,51138,8277,37078,5783,
1987,54759,12972,37260,4527,
1986,55928,15848,36006,4073,1
1985,38799,9796,26522,2481,
1984,32623,6756,24247,1620,
1983,32021,8114,20209,3698,
1982,23705,6971,12868,3866,
1981,14500,4721,7121,2658,
1980,12912,119,9891,2902,
1979,8243,91,6190,1962,
1978,9435,17,7107,2311,
1977,13741,2,9919,3820,
1976,10821,,6950,3870,1
1975,10615,,8472,2143,
1974,9253,1,7004,2248,
1973,11377,4,7305,4068,
1972,9637,,7603,2034,
1971,13156,1,8238,4917,
1970,17947,5,9979,7963,
1969,5433,1,2745,2687,
1968,107,,98,9,
