year,total_reports,domestic,foreign,not_specified
2024,2041829,1261744,779863,222
2023,2154455,1388324,766023,108
2022,2337099,1559069,776869,1161
2021,2328590,1612279,714730,1581
2020,2202814,1482010,720111,693
2019,2175284,1437654,737609,21
2018,2140149,1416535,723599,15
2017,1805010,1252674,552297,39
2016,1683373,1185345,496222,1806
2015,1719791,1286196,431881,1714
2014,1198433,825481,372509,443
2013,1068593,714245,354003,345
2012,930179,629710,299183,1286
2011,781627,524608,255691,1328
2010,672640,458185,213568,887
2009,490408,309756,180021,631
2008,439671,288421,150819,431
2007,363325,235346,127662,317
2006,335670,226474,108545,651
2005,321879,217506,103872,501
2004,272831,185710,86376,745
2003,225234,149977,74681,576
2002,184879,114012,68454,2413
2001,203208,133846,65310,4052
2000,199799,142433,52768,4598
1999,224363,175323,42735,6305
1998,159890,119682,35185,5023
1997,198234,171016,20820,6398
1996,172204,156589,15553,62
1995,141667,130486,11172,9
1994,129122,119443,9675,4
1993,124198,114839,9356,3
1992,105954,98584,7368,2
1991,75290,69759,5529,2
1990,75201,70543,4658,
1989,60682,56125,4555,2
1988,51138,46689,4449,
1987,54759,47001,7758,
1986,55928,47585,8343,
1985,38799,33883,4916,
1984,32623,28982,3640,1
1983,32021,29895,2125,1
1982,23705,22767,938,
1981,14500,14021,479,
1980,12912,12575,337,
1979,8243,8055,188,
1978,9435,9284,151,
1977,13741,13397,344,
1976,10821,10590,231,
1975,10615,10370,245,
1974,9253,9136,117,
1973,11377,11167,210,
1972,9637,9214,423,
1971,13156,12344,812,
1970,17947,16687,1259,1
1969,5433,5150,283,
1968,107,107,,
