year,total_reports,female,male,not_specified
2024,2041829,1007479,684574,349776
2023,2154455,1085982,730127,338346
2022,2337099,1189210,841367,306522
2021,2328590,1177346,875649,275595
2020,2202814,1128736,731662,342416
2019,2175284,1174476,720564,280244
2018,2140149,1143928,730936,265285
2017,1805010,966007,642197,196806
2016,1683373,915942,599002,168429
2015,1719791,943403,602044,174344
2014,1198433,660015,402169,136249
2013,1068593,623344,379380,65869
2012,930179,524961,322839,82379
2011,781627,455420,271448,54759
2010,672640,371449,232742,68449
2009,490408,268365,179666,42377
2008,439671,249260,158027,32384
2007,363325,203281,134058,25986
2006,335670,182831,132346,20493
2005,321879,172862,129235,19782
2004,272831,151431,103678,17722
2003,225234,118354,87770,19110
2002,184879,96758,75958,12163
2001,203208,108531,79749,14928
2000,199799,111843,75491,12465
1999,224363,126667,80273,17423
1998,159890,86873,60797,12220
1997,198234,115513,66021,16700
1996,172204,99937,56767,15500
1995,141667,79989,47589,14089
1994,129122,66125,47811,15186
1993,124198,63204,43340,17654
1992,105954,53193,34824,17937
1991,75290,36159,25208,13923
1990,75201,36161,24655,14385
1989,60682,29293,19846,11543
1988,51138,24644,16780,9714
1987,54759,26192,18389,10178
1986,55928,25685,18724,11519
1985,38799,18233,13084,7482
1984,32623,15330,11118,6175
1983,32021,15657,10653,5711
1982,23705,11095,7881,4729
1981,14500,6469,5006,3025
1980,12912,5750,4476,2686
1979,8243,3721,2689,1833
1978,9435,4552,3086,1797
1977,13741,6853,4160,2728
1976,10821,5329,3210,2282
1975,10615,5011,3769,1835
1974,9253,4244,2923,2086
1973,11377,4386,3571,3420
1972,9637,4187,4417,1033
1971,13156,6116,6104,936
1970,17947,9124,7674,1149
1969,5433,3005,2113,315
1968,107,57,48,2
